complaint,category
Streetlight not working in Hadapsar,Electricity
Sewage overflow in Pimpri,Drainage
Water leakage near Kothrud,Water
Cracked road at Pimpri,Road
Garbage overflowing near Hadapsar,Waste
Large pothole on Hinjewadi,Road
Waterlogging due to blocked drain in Shivajinagar,Drainage
Rainwater accumulation in Baner,Flooding
Garbage not collected in FC Road,Waste
Traffic jam near Baner,Traffic
Road damaged near Kothrud,Road
Dirty drainage near Pimpri,Drainage
Waste dumped outside Kothrud,Waste
Garbage overflowing near Wakad,Waste
Water overflowing near Hinjewadi,Water
Water overflowing near Hinjewadi,Water
Power outage near Hadapsar,Electricity
Waterlogging after rain in FC Road,Flooding
Area submerged in Pimpri,Flooding
Rainwater accumulation in Shivajinagar,Flooding
Power outage near FC Road,Electricity
Waterlogging after rain in Wakad,Flooding
Sewage overflow in Pimpri,Drainage
Water overflowing near Baner,Water
Heavy traffic near Hinjewadi,Traffic
Water leakage near Kothrud,Water
Road damaged near Shivajinagar,Road
Road blocked due to traffic in Hinjewadi,Traffic
Drainage issue at FC Road,Drainage
Dustbin overflowing in Wakad,Waste
Broken road in Hadapsar,Road
Electric pole damaged in Hinjewadi,Electricity
No drinking water in Shivajinagar,Water
Flood near Pimpri,Flooding
Sewage overflow in Hadapsar,Drainage
Sewage overflow in Hinjewadi,Drainage
Vehicle congestion in Kothrud,Traffic
Dustbin overflowing in FC Road,Waste
Waterlogging after rain in Hinjewadi,Flooding
Streetlight not working in Wakad,Electricity
Dirty drainage near FC Road,Drainage
Cracked road at Hadapsar,Road
Traffic signal not working at Baner,Traffic
Electric pole damaged in Pimpri,Electricity
Area submerged in Kothrud,Flooding
No drinking water in Shivajinagar,Water
Drainage issue at Shivajinagar,Drainage
Heavy traffic near Hadapsar,Traffic
Water overflowing near Baner,Water
Water overflowing near Shivajinagar,Water
Waterlogging after rain in Wakad,Flooding
Water supply issue in Shivajinagar,Water
Drainage issue at Camp,Drainage
Garbage overflowing near Hinjewadi,Waste
Area submerged in FC Road,Flooding
Road damaged near Wakad,Road
Power outage near Camp,Electricity
Cracked road at Baner,Road
Power outage near Wakad,Electricity
No drinking water in Hadapsar,Water
Road damaged near Camp,Road
Road damaged near Shivajinagar,Road
Pipeline burst in Aundh,Water
Water supply issue in Baner,Water
Broken road in Hadapsar,Road
Cracked road at Hadapsar,Road
Flood near Baner,Flooding
Drainage issue at Baner,Drainage
Water supply issue in Hinjewadi,Water
Drainage issue at Baner,Drainage
Water supply issue in Aundh,Water
Waterlogging after rain in Hinjewadi,Flooding
Garbage not collected in Shivajinagar,Waste
Road damaged near Hadapsar,Road
Flood near Hinjewadi,Flooding
Drainage issue at Wakad,Drainage
Water leakage near Pimpri,Water
Drainage issue at Hadapsar,Drainage
Water leakage near FC Road,Water
Garbage overflowing near Camp,Waste
Broken road in Baner,Road
Rainwater accumulation in Hadapsar,Flooding
Area submerged in Hinjewadi,Flooding
Area submerged in Wakad,Flooding
Large pothole on Aundh,Road
Garbage not collected in Baner,Waste
Huge garbage pile near Wakad,Waste
Garbage not collected in Aundh,Waste
Water overflowing near FC Road,Water
No drinking water in Shivajinagar,Water
Large pothole on Wakad,Road
Frequent power cuts in Baner,Electricity
Water overflowing near Hadapsar,Water
Garbage not collected in FC Road,Waste
Streetlight not working in Camp,Electricity
Traffic signal not working at Camp,Traffic
Water supply issue in Shivajinagar,Water
Water supply issue in Kothrud,Water
Cracked road at Pimpri,Road
Dirty drainage near Pimpri,Drainage
Vehicle congestion in Hadapsar,Traffic
Heavy traffic near Aundh,Traffic
Heavy traffic near Aundh,Traffic
Water leakage near Hadapsar,Water
Broken road in Hinjewadi,Road
Dustbin overflowing in FC Road,Waste
Pipeline burst in Hinjewadi,Water
Sewage overflow in FC Road,Drainage
Sewage overflow in Kothrud,Drainage
Water overflowing near Wakad,Water
Water overflowing near Wakad,Water
No drinking water in Aundh,Water
Drain blocked near Wakad,Drainage
Pipeline burst in Baner,Water
Garbage overflowing near Shivajinagar,Waste
Traffic signal not working at Baner,Traffic
Huge garbage pile near Camp,Waste
Cracked road at FC Road,Road
Garbage overflowing near Camp,Waste
Area submerged in Shivajinagar,Flooding
Large pothole on Wakad,Road
Waterlogging after rain in Wakad,Flooding
Water leakage near Wakad,Water
Sewage overflow in Shivajinagar,Drainage
Drainage issue at FC Road,Drainage
Road damaged near Shivajinagar,Road
Drain blocked near Aundh,Drainage
Waterlogging after rain in Kothrud,Flooding
Garbage overflowing near Kothrud,Waste
Cracked road at Shivajinagar,Road
Frequent power cuts in Baner,Electricity
Waste dumped outside Hinjewadi,Waste
Drainage issue at Shivajinagar,Drainage
Large pothole on Camp,Road
Rainwater accumulation in FC Road,Flooding
Streetlight not working in Baner,Electricity
Road damaged near FC Road,Road
Dirty drainage near Shivajinagar,Drainage
Waterlogging due to blocked drain in Aundh,Drainage
Vehicle congestion in Camp,Traffic
Garbage not collected in Hadapsar,Waste
Rainwater accumulation in Camp,Flooding
Road blocked due to traffic in Hinjewadi,Traffic
Water supply issue in Camp,Water
Flooding reported in Baner,Flooding
Huge garbage pile near Kothrud,Waste
Pipeline burst in Baner,Water
Pipeline burst in Aundh,Water
Broken road in Camp,Road
Broken road in Baner,Road
Dustbin overflowing in Aundh,Waste
Garbage overflowing near Baner,Waste
Waterlogging after rain in Pimpri,Flooding
Pipeline burst in Hadapsar,Water
Flooding reported in Hadapsar,Flooding
Rainwater accumulation in Pimpri,Flooding
Water overflowing near Shivajinagar,Water
Traffic jam near Hadapsar,Traffic
Power outage near Aundh,Electricity
Huge garbage pile near Kothrud,Waste
Flooding reported in Baner,Flooding
Cracked road at Pimpri,Road
Road damaged near Hadapsar,Road
Flooding reported in Baner,Flooding
Waterlogging after rain in Kothrud,Flooding
Frequent power cuts in Aundh,Electricity
No drinking water in Wakad,Water
Road blocked due to traffic in Hadapsar,Traffic
Broken road in Wakad,Road
Dustbin overflowing in Aundh,Waste
Heavy traffic near Baner,Traffic
Drain blocked near Kothrud,Drainage
Rainwater accumulation in Baner,Flooding
Flood near Wakad,Flooding
Heavy traffic near Pimpri,Traffic
Heavy traffic near Hadapsar,Traffic
Drain blocked near Wakad,Drainage
Water overflowing near Camp,Water
Cracked road at Hinjewadi,Road
Pipeline burst in Shivajinagar,Water
Rainwater accumulation in Hadapsar,Flooding
Uneven road surface near Hinjewadi,Road
Flood near Pimpri,Flooding
Power outage near Hinjewadi,Electricity
Pipeline burst in Kothrud,Water
Frequent power cuts in Aundh,Electricity
Area submerged in Pimpri,Flooding
Loose electric wire in Camp,Electricity
Area submerged in Aundh,Flooding
Frequent power cuts in Pimpri,Electricity
Flooding reported in Aundh,Flooding
Waterlogging due to blocked drain in Aundh,Drainage
Dustbin overflowing in Shivajinagar,Waste
Dirty drainage near FC Road,Drainage
Water leakage near Kothrud,Water
Waterlogging after rain in Shivajinagar,Flooding
Water overflowing near Hinjewadi,Water
Dirty drainage near Pimpri,Drainage
Dirty drainage near Kothrud,Drainage
Traffic jam near Hinjewadi,Traffic
Garbage not collected in Aundh,Waste
Waterlogging after rain in Wakad,Flooding
Huge garbage pile near FC Road,Waste
Garbage overflowing near Aundh,Waste
Electric pole damaged in Hinjewadi,Electricity
Power outage near Aundh,Electricity
Dirty drainage near Wakad,Drainage
Large pothole on Baner,Road
Uneven road surface near Hadapsar,Road
Dirty drainage near Baner,Drainage
Vehicle congestion in Kothrud,Traffic
Road blocked due to traffic in Camp,Traffic
Broken road in Pimpri,Road
Water overflowing near Camp,Water
Traffic jam near Kothrud,Traffic
Drainage issue at Hinjewadi,Drainage
Heavy traffic near Camp,Traffic
Flooding reported in Aundh,Flooding
Large pothole on Hinjewadi,Road
Heavy traffic near Wakad,Traffic
Loose electric wire in Shivajinagar,Electricity
Heavy traffic near Pimpri,Traffic
Water supply issue in Hadapsar,Water
Flood near Kothrud,Flooding
Uneven road surface near Kothrud,Road
Heavy traffic near Pimpri,Traffic
Flooding reported in Camp,Flooding
Waterlogging due to blocked drain in Hinjewadi,Drainage
Dustbin overflowing in Baner,Waste
Drainage issue at Camp,Drainage
Streetlight not working in Pimpri,Electricity
Traffic signal not working at Hadapsar,Traffic
Waterlogging due to blocked drain in Hadapsar,Drainage
Area submerged in FC Road,Flooding
Drainage issue at Baner,Drainage
Uneven road surface near Kothrud,Road
Heavy traffic near FC Road,Traffic
Flooding reported in Aundh,Flooding
Drainage issue at Camp,Drainage
Cracked road at Kothrud,Road
Waterlogging due to blocked drain in Baner,Drainage
Sewage overflow in FC Road,Drainage
Dustbin overflowing in Hadapsar,Waste
Frequent power cuts in Camp,Electricity
Sewage overflow in Kothrud,Drainage
Electric pole damaged in Camp,Electricity
Area submerged in Shivajinagar,Flooding
Flooding reported in Aundh,Flooding
Uneven road surface near Wakad,Road
Drainage issue at FC Road,Drainage
Flood near Aundh,Flooding
Waste dumped outside FC Road,Waste
No drinking water in Pimpri,Water
Cracked road at Hadapsar,Road
Vehicle congestion in Hadapsar,Traffic
Dirty drainage near Baner,Drainage
Garbage overflowing near Baner,Waste
Heavy traffic near Hinjewadi,Traffic
Huge garbage pile near Pimpri,Waste
Broken road in Hadapsar,Road
Uneven road surface near Pimpri,Road
Huge garbage pile near Hadapsar,Waste
Garbage overflowing near Hadapsar,Waste
Water leakage near FC Road,Water
Heavy traffic near Aundh,Traffic
Power outage near FC Road,Electricity
Sewage overflow in Hinjewadi,Drainage
Drainage issue at Baner,Drainage
Sewage overflow in Baner,Drainage
Flood near Shivajinagar,Flooding
No drinking water in Aundh,Water
Sewage overflow in Aundh,Drainage
Waterlogging after rain in Aundh,Flooding
Waterlogging due to blocked drain in FC Road,Drainage
Water overflowing near Baner,Water
Loose electric wire in Baner,Electricity
Traffic signal not working at Aundh,Traffic
Uneven road surface near Hadapsar,Road
Garbage overflowing near Aundh,Waste
Traffic jam near Pimpri,Traffic
Broken road in FC Road,Road
Waterlogging due to blocked drain in Kothrud,Drainage
Power outage near Kothrud,Electricity
Area submerged in Wakad,Flooding
Flood near Aundh,Flooding
Streetlight not working in Hinjewadi,Electricity
Drain blocked near Hinjewadi,Drainage
Pipeline burst in Hadapsar,Water
Waterlogging after rain in Aundh,Flooding
Drain blocked near Pimpri,Drainage
Drain blocked near Baner,Drainage
Cracked road at Wakad,Road
Broken road in Hinjewadi,Road
Frequent power cuts in Wakad,Electricity
Garbage not collected in Hadapsar,Waste
Cracked road at Shivajinagar,Road
Streetlight not working in Camp,Electricity
Frequent power cuts in Wakad,Electricity
Road damaged near Baner,Road
Streetlight not working in Aundh,Electricity
Sewage overflow in FC Road,Drainage
Water supply issue in Shivajinagar,Water
Frequent power cuts in Pimpri,Electricity
Electric pole damaged in Kothrud,Electricity
Streetlight not working in Pimpri,Electricity
Traffic jam near Kothrud,Traffic
Power outage near FC Road,Electricity
Road blocked due to traffic in Kothrud,Traffic
Streetlight not working in Kothrud,Electricity
Drainage issue at Shivajinagar,Drainage
Frequent power cuts in Camp,Electricity
Flood near FC Road,Flooding
Waterlogging after rain in Camp,Flooding
Drainage issue at FC Road,Drainage
Water overflowing near Baner,Water
Broken road in Baner,Road
Streetlight not working in Pimpri,Electricity
Flooding reported in Kothrud,Flooding
Flooding reported in Hadapsar,Flooding
Sewage overflow in Baner,Drainage
Drainage issue at Hinjewadi,Drainage
Water supply issue in Aundh,Water
Flood near Aundh,Flooding
Water supply issue in FC Road,Water
Road damaged near Baner,Road
Sewage overflow in Pimpri,Drainage
Rainwater accumulation in Shivajinagar,Flooding
Waterlogging after rain in Wakad,Flooding
Dirty drainage near Aundh,Drainage
Drain blocked near Baner,Drainage
Garbage not collected in Wakad,Waste
Pipeline burst in Shivajinagar,Water
Large pothole on Aundh,Road
Pipeline burst in Aundh,Water
Streetlight not working in Wakad,Electricity
Sewage overflow in Camp,Drainage
Water supply issue in Wakad,Water
Waste dumped outside FC Road,Waste
Garbage overflowing near Kothrud,Waste
Water leakage near Baner,Water
Huge garbage pile near Hinjewadi,Waste
Flood near Hinjewadi,Flooding
Water supply issue in Aundh,Water
Loose electric wire in Wakad,Electricity
Flooding reported in Camp,Flooding
Water overflowing near Camp,Water
Streetlight not working in Wakad,Electricity
Drain blocked near FC Road,Drainage
Heavy traffic near Hadapsar,Traffic
No drinking water in Hadapsar,Water
Dirty drainage near Shivajinagar,Drainage
Area submerged in Aundh,Flooding
Road damaged near Kothrud,Road
Large pothole on Aundh,Road
Dirty drainage near Pimpri,Drainage
Waste dumped outside Pimpri,Waste
Traffic jam near Aundh,Traffic
Traffic jam near Baner,Traffic
Road blocked due to traffic in FC Road,Traffic
Sewage overflow in Kothrud,Drainage
Huge garbage pile near Hadapsar,Waste
Vehicle congestion in Aundh,Traffic
Uneven road surface near Baner,Road
Drain blocked near Pimpri,Drainage
Waste dumped outside Hinjewadi,Waste
Rainwater accumulation in Aundh,Flooding
Frequent power cuts in Camp,Electricity
Pipeline burst in Pimpri,Water
Electric pole damaged in Camp,Electricity
Flood near Baner,Flooding
Vehicle congestion in Hadapsar,Traffic
No drinking water in Shivajinagar,Water
Loose electric wire in Hadapsar,Electricity
Area submerged in Baner,Flooding
Dustbin overflowing in Aundh,Waste
Heavy traffic near Shivajinagar,Traffic
Pipeline burst in Shivajinagar,Water
Broken road in Pimpri,Road
Waste dumped outside Hadapsar,Waste
Traffic jam near FC Road,Traffic
Road damaged near Hinjewadi,Road
Heavy traffic near Hinjewadi,Traffic
Cracked road at Camp,Road
Pipeline burst in Hinjewadi,Water
Water overflowing near FC Road,Water
Garbage not collected in Pimpri,Waste
Heavy traffic near Baner,Traffic
Water leakage near Aundh,Water
Frequent power cuts in Hadapsar,Electricity
Large pothole on Baner,Road
Water overflowing near Camp,Water
Road blocked due to traffic in Hinjewadi,Traffic
No drinking water in FC Road,Water
Waterlogging due to blocked drain in Kothrud,Drainage
Waste dumped outside Camp,Waste
Garbage overflowing near FC Road,Waste
Streetlight not working in Hadapsar,Electricity
Rainwater accumulation in Hinjewadi,Flooding
Large pothole on Hinjewadi,Road
Power outage near Hinjewadi,Electricity
Water supply issue in Camp,Water
Rainwater accumulation in FC Road,Flooding
No drinking water in Hadapsar,Water
Streetlight not working in Hinjewadi,Electricity
Drainage issue at Pimpri,Drainage
Heavy traffic near Aundh,Traffic
Huge garbage pile near Camp,Waste
Road damaged near Hadapsar,Road
Area submerged in Shivajinagar,Flooding
Electric pole damaged in Wakad,Electricity
Frequent power cuts in Wakad,Electricity
Traffic signal not working at Pimpri,Traffic
Electric pole damaged in Aundh,Electricity
Waterlogging after rain in Hinjewadi,Flooding
Road blocked due to traffic in Kothrud,Traffic
Garbage overflowing near FC Road,Waste
Vehicle congestion in Hadapsar,Traffic
Traffic jam near Baner,Traffic
Uneven road surface near Camp,Road
Rainwater accumulation in Kothrud,Flooding
Frequent power cuts in Pimpri,Electricity
Traffic jam near Hinjewadi,Traffic
Traffic jam near Pimpri,Traffic
Broken road in Hinjewadi,Road
Loose electric wire in Baner,Electricity
Electric pole damaged in FC Road,Electricity
Sewage overflow in Kothrud,Drainage
Road damaged near Aundh,Road
Waterlogging after rain in Kothrud,Flooding
Waste dumped outside Kothrud,Waste
Drain blocked near Shivajinagar,Drainage
Water overflowing near Pimpri,Water
Flooding reported in Wakad,Flooding
Traffic signal not working at Hinjewadi,Traffic
Flooding reported in Kothrud,Flooding
Water overflowing near Wakad,Water
Uneven road surface near Baner,Road
Broken road in FC Road,Road
Traffic jam near Wakad,Traffic
Huge garbage pile near Aundh,Waste
Cracked road at Wakad,Road
Water overflowing near Wakad,Water
Traffic jam near Kothrud,Traffic
Pipeline burst in Shivajinagar,Water
Power outage near Baner,Electricity
Rainwater accumulation in Wakad,Flooding
Power outage near Pimpri,Electricity
Vehicle congestion in Aundh,Traffic
Uneven road surface near Pimpri,Road
Sewage overflow in Hinjewadi,Drainage
Waste dumped outside Hinjewadi,Waste
Vehicle congestion in Baner,Traffic
Power outage near Camp,Electricity
Dustbin overflowing in Wakad,Waste
Streetlight not working in Camp,Electricity
Uneven road surface near Shivajinagar,Road
Traffic jam near Shivajinagar,Traffic
Drainage issue at Pimpri,Drainage
Water supply issue in Wakad,Water
Pipeline burst in Kothrud,Water
Streetlight not working in Camp,Electricity
Water supply issue in Hadapsar,Water
